area,age,gender,number
Tana River,15,female,4049
Tana River,15,total,8314
Tana River,16,male,3350
Tana River,16,female,3136
Tana River,16,total,6486
Tana River,17,male,3352
Tana River,17,female,2935
Tana River,17,total,6287
Tana River,18,male,3307
Tana River,18,female,3163
Tana River,18,total,6470
Tana River,19,male,2598
Tana River,19,female,2777
Tana River,19,total,5375
Tana River,20,male,3315
Tana River,20,female,3742
Tana River,20,total,7057
Tana River,21,male,2192
Tana River,21,female,2515
Tana River,21,total,4707
Tana River,22,male,2639
Tana River,22,female,2900
Tana River,22,total,5539
Tana River,23,male,2558
Tana River,23,female,2601
Tana River,23,total,5159
Tana River,24,male,2254
Tana River,24,female,2460
Tana River,24,total,4714
Tana River,25,male,3229
Tana River,25,female,3564
Tana River,25,total,6793
Tana River,26,male,2022
Tana River,26,female,2160
Tana River,26,total,4182
Tana River,27,male,1879
Tana River,27,female,2269
Tana River,27,total,4148
Tana River,28,male,1736
Tana River,28,female,2098
Tana River,28,total,3834
Tana River,29,male,1554
Tana River,29,female,1649
Tana River,29,total,3203
Tana River,30,male,2976
Tana River,30,female,3463
Tana River,30,total,6439
Tana River,31,male,1396
Tana River,31,female,1597
Tana River,31,total,2993
Tana River,32,male,1706
Tana River,32,female,1905
Tana River,32,total,3611
Tana River,33,male,1174
Tana River,33,female,1402
Tana River,33,total,2576
Tana River,34,male,1176
Tana River,34,female,1124
Tana River,34,total,2300
Tana River,35,male,2486
Tana River,35,female,2510
Tana River,35,total,4996
Tana River,36,male,1278
Tana River,36,female,1284
Tana River,36,total,2562
Tana River,37,male,1296
Tana River,37,female,1200
Tana River,37,total,2496
Tana River,38,male,939
Tana River,38,female,902
Tana River,38,total,1841
Tana River,39,male,877
Tana River,39,female,728
Tana River,39,total,1605
Tana River,40,male,2197
Tana River,40,female,2112
Tana River,40,total,4309
Tana River,41,male,1249
Tana River,41,female,1276
Tana River,41,total,2525
Tana River,42,male,1026
Tana River,42,female,884
Tana River,42,total,1910
Tana River,43,male,696
Tana River,43,female,648
Tana River,43,total,1344
Tana River,44,male,605
Tana River,44,female,467
Tana River,44,total,1072
Tana River,45,male,1801
Tana River,45,female,1855
Tana River,45,total,3656
Tana River,46,male,952
Tana River,46,female,1040
Tana River,46,total,1992
Tana River,47,male,835
Tana River,47,female,781
Tana River,47,total,1616
Tana River,48,male,663
Tana River,48,female,576
Tana River,48,total,1239
Tana River,49,male,656
Tana River,49,female,543
Tana River,49,total,1199
Tana River,50,male,1426
Tana River,50,female,1371
Tana River,50,total,2797
Tana River,51,male,538
Tana River,51,female,547
Tana River,51,total,1085
Tana River,52,male,626
Tana River,52,female,588
Tana River,52,total,1214
Tana River,53,male,483
Tana River,53,female,396
Tana River,53,total,879
Tana River,54,male,570
Tana River,54,female,548
Tana River,54,total,1118
Tana River,55,male,681
Tana River,55,female,548
Tana River,55,total,1229
Tana River,56,male,689
Tana River,56,female,541
Tana River,56,total,1230
Tana River,57,male,606
Tana River,57,female,617
Tana River,57,total,1223
Tana River,58,male,566
Tana River,58,female,630
Tana River,58,total,1196
Tana River,59,male,581
Tana River,59,female,591
Tana River,59,total,1172
Tana River,60,male,1056
Tana River,60,female,1151
Tana River,60,total,2207
Tana River,61,male,522
Tana River,61,female,450
Tana River,61,total,972
Tana River,62,male,472
Tana River,62,female,422
Tana River,62,total,894
Tana River,63,male,466
Tana River,63,female,449
Tana River,63,total,915
Tana River,64,male,327
Tana River,64,female,287
Tana River,64,total,614
Tana River,65,male,545
Tana River,65,female,631
Tana River,65,total,1176
Tana River,66,male,272
Tana River,66,female,314
Tana River,66,total,586
Tana River,67,male,347
Tana River,67,female,310
Tana River,67,total,657
Tana River,68,male,268
Tana River,68,female,226
Tana River,68,total,494
Tana River,69,male,319
Tana River,69,female,384
Tana River,69,total,703
Tana River,70,male,611
Tana River,70,female,815
Tana River,70,total,1426
Tana River,71,male,229
Tana River,71,female,274
Tana River,71,total,503
Tana River,72,male,188
Tana River,72,female,158
